,Algorithm,Feature_Set,Accuracy,Precision,Recall,F1_Score,Best_Params,Features_Used,time
3,KNN,Indiv: Raw Accel,0.7309,0.7002,0.7309,0.7056,"{'n_neighbors': 19, 'weights': 'distance', 'p': 1}","['x_g', 'y_g', 'z_g']",30
33,KNN,Seq: Raw Accel + ODBA + VeDBA,0.7275,0.6979,0.7275,0.7041,"{'n_neighbors': 12, 'weights': 'distance', 'p': 2}","['x_g', 'y_g', 'z_g', 'odba', 'vedba']",30
0,XGBoost,Indiv: Raw Accel,0.7334,0.7561,0.7334,0.7015,"{'n_estimators': 273, 'max_depth': 7, 'learning_rate': 0.012812569905010677, 'subsample': 0.5585208301171382, 'colsample_bytree': 0.975976524204159}","['x_g', 'y_g', 'z_g']",30
27,SVM (RBF),Seq: Raw Accel + ODBA,0.7314,0.675,0.7314,0.6994,"{'C': 41.61928758707773, 'gamma': 'scale'}","['x_g', 'y_g', 'z_g', 'odba']",30
32,SVM (RBF),Seq: Raw Accel + ODBA + VeDBA,0.7314,0.6745,0.7314,0.6988,"{'C': 29.42405369312948, 'gamma': 'scale'}","['x_g', 'y_g', 'z_g', 'odba', 'vedba']",30
20,XGBoost,Seq: Raw Accel,0.7245,0.6674,0.7245,0.6918,"{'n_estimators': 52, 'max_depth': 5, 'learning_rate': 0.07757932482389436, 'subsample': 0.8838327247346252, 'colsample_bytree': 0.7926563849229173}","['x_g', 'y_g', 'z_g']",30
39,LogisticReg,Seq: Raw Accel + ODBA + VeDBA + Magnitude,0.7093,0.6921,0.7093,0.6839,{'C': 27.933116459192878},"['x_g', 'y_g', 'z_g', 'odba', 'vedba', 'mag']",30
22,SVM (RBF),Seq: Raw Accel,0.7137,0.6567,0.7137,0.6806,"{'C': 65.7333696659469, 'gamma': 'auto'}","['x_g', 'y_g', 'z_g']",30
2,SVM (RBF),Indiv: Raw Accel,0.7122,0.6555,0.7122,0.6787,"{'C': 17.800656828913294, 'gamma': 'auto'}","['x_g', 'y_g', 'z_g']",30
34,LogisticReg,Seq: Raw Accel + ODBA + VeDBA,0.6862,0.6282,0.6862,0.6448,{'C': 13.024845639340997},"['x_g', 'y_g', 'z_g', 'odba', 'vedba']",30
29,LogisticReg,Seq: Raw Accel + ODBA,0.6842,0.6261,0.6842,0.6419,{'C': 5.425735379602733},"['x_g', 'y_g', 'z_g', 'odba']",30
4,LogisticReg,Indiv: Raw Accel,0.6837,0.6249,0.6837,0.6413,{'C': 14.166708442240543},"['x_g', 'y_g', 'z_g']",30
24,LogisticReg,Seq: Raw Accel,0.6837,0.6249,0.6837,0.6413,{'C': 39.63017123904445},"['x_g', 'y_g', 'z_g']",30
16,RandomForest,Indiv: Magnitude,0.4865,0.4741,0.4865,0.4636,"{'n_estimators': 222, 'max_depth': 9, 'min_samples_split': 2}",['mag'],30
15,XGBoost,Indiv: Magnitude,0.486,0.4651,0.486,0.4506,"{'n_estimators': 217, 'max_depth': 6, 'learning_rate': 0.02086615262578671, 'subsample': 0.9078663017243731, 'colsample_bytree': 0.5847847688854552}",['mag'],30
18,KNN,Indiv: Magnitude,0.4584,0.4395,0.4584,0.4346,"{'n_neighbors': 14, 'weights': 'uniform', 'p': 1}",['mag'],30
17,SVM (RBF),Indiv: Magnitude,0.4835,0.3571,0.4835,0.4036,"{'C': 0.18161863170222217, 'gamma': 'auto'}",['mag'],30
19,LogisticReg,Indiv: Magnitude,0.4624,0.4321,0.4624,0.3978,{'C': 34.23685110408906},['mag'],30
5,XGBoost,Indiv: ODBA,0.4235,0.3789,0.4235,0.3706,"{'n_estimators': 190, 'max_depth': 6, 'learning_rate': 0.026747540149563813, 'subsample': 0.680172017735579, 'colsample_bytree': 0.5259462274325784}",['odba'],30
10,XGBoost,Indiv: VeDBA,0.4147,0.3776,0.4147,0.3544,"{'n_estimators': 170, 'max_depth': 5, 'learning_rate': 0.018560309540584945, 'subsample': 0.6704495123305518, 'colsample_bytree': 0.9562837359709531}",['vedba'],30
11,RandomForest,Indiv: VeDBA,0.422,0.3791,0.422,0.3543,"{'n_estimators': 238, 'max_depth': 8, 'min_samples_split': 7}",['vedba'],30
8,KNN,Indiv: ODBA,0.3778,0.3558,0.3778,0.3519,"{'n_neighbors': 9, 'weights': 'uniform', 'p': 2}",['odba'],30
13,KNN,Indiv: VeDBA,0.3851,0.3414,0.3851,0.3493,"{'n_neighbors': 17, 'weights': 'uniform', 'p': 1}",['vedba'],30
6,RandomForest,Indiv: ODBA,0.3699,0.3427,0.3699,0.3489,"{'n_estimators': 220, 'max_depth': 24, 'min_samples_split': 9}",['odba'],30
14,LogisticReg,Indiv: VeDBA,0.4073,0.3008,0.4073,0.3258,{'C': 0.09402090457879365},['vedba'],30
9,LogisticReg,Indiv: ODBA,0.4048,0.2989,0.4048,0.3228,{'C': 1.8638394802782747},['odba'],30
7,SVM (RBF),Indiv: ODBA,0.4127,0.3226,0.4127,0.3176,"{'C': 0.44732219895861774, 'gamma': 'auto'}",['odba'],30
12,SVM (RBF),Indiv: VeDBA,0.4112,0.3208,0.4112,0.3153,"{'C': 2.069761362202072, 'gamma': 'scale'}",['vedba'],30
